Risk_Description,Impact,Likelihood
Unexpected increase in network traffic from misconfigured firewall rules,2,3
Loss of customer data after successful exploit of unpatched CMS vulnerability,3,2
"Extended power outage at primary data center from severe weather, causing all systems and services to go offline leading to prolonged downtime",5,4
"Accidental deletion of critical database by administrator, requiring restoration from the most recent backup and potential data loss",4,2
"Security vulnerability in web application code enabling remote code execution by hackers, allowing data theft or service disruption",5,3
"Storage area network failure from faulty firmware, causing unavailability of critical data drives and applications",4,2
"Misconfigured network firewall rules inadvertently opening access to internal systems, allowing potential malicious access or data exfiltration",4,3
"Web server overload from spike in legitimate traffic, slowing user access to web applications and degrading performance",3,4
"Malware or ransomware infection of endpoint due to outdated antivirus definitions, leading to potential data encryption or theft",5,3
"Improper patch management of operating systems and software, leaving vulnerabilities open to exploitation",4,3
"Insufficient capacity planning prior to new product launch, unable to handle increased load leading to poor performance",3,4
"Unencrypted sensitive customer data stored on legacy systems, risking data breach if compromised",5,2
Lack of multi-factor authentication on virtual private network allowing unauthorized remote access,4,3
"Weak administrative passwords to critical systems cracked through brute force attack, enabling admin account takeover",5,3
"Failure to update certificates on public-facing systems, causing errors for users and inability to access services",3,2
"Improper access controls granting overly broad permissions, allowing unauthorized changes and access",4,3
"Denial-of-service attack against public web application, disrupting service availability",4,3
